ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
89.76882,28.222952,6641.33,240.8,4.083,0.421,-0.171,0.245,14.24,29.41
89.65934,28.151743,8313.1,301.92,4.292,0.525,-0.262,0.471,55.15,51.45
89.668144,27.952806,5319.4,167.81,2.943,0.603,-0.166,0.233,19.3,13.96
89.6915,27.737774,8294.13,306.64,4.431,0.335,-0.158,0.474,8.45,49.22
89.84432,27.871696,4732.58,109.32,2.479,0.451,-0.049,0.154,21.4,10.49
89.70397,27.599659,7344.42,387.75,4.525,0.411,-0.083,0.438,39.52,40.16
89.875435,27.685652,5256.12,120.04,4.828,0.411,-0.321,0.182,46.5,19.53
89.943436,27.632639,4818.12,138.59,2.125,0.613,-0.458,0.224,-39.79,14.99
89.89972,28.53433,4931.24,113.56,4.859,0.324,0.103,0.154,9.91,15.97
89.9755,28.581831,5031.46,196.68,2.099,0.643,-0.298,0.327,59.96,19.57
90.03015,28.5436,6499.52,256.0,4.278,0.467,-0.194,0.276,82.57,37.57
89.95511,28.4861,4840.27,132.78,2.282,0.621,-0.202,0.199,45.82,18.02
89.88451,29.13779,6238.04,381.89,4.747,0.434,0.024,0.36,18.04,23.17
89.94389,29.638817,6440.43,400.11,4.872,0.373,0.177,0.362,25.7,20.78
89.87197,30.085148,6410.2,377.26,4.844,0.368,0.123,0.342,20.81,18.1
89.6399,30.037113,4635.02,95.5,1.77,0.294,-0.055,0.141,-16.75,8.58
89.58078,29.959572,5291.69,278.22,3.56,0.673,-0.196,0.328,3.95,15.35
89.8202,29.838161,5351.26,162.64,3.827,0.643,-0.382,0.206,15.22,18.04
89.926735,29.715786,5118.74,143.5,2.822,0.635,-0.192,0.204,12.69,13.36
89.6947,29.399324,5578.01,197.51,4.343,0.572,-0.565,0.259,91.18,18.2
90.03195,29.317732,5016.72,139.12,2.574,0.668,-0.335,0.209,15.67,14.8
86.569046,29.856354,4845.43,104.81,3.567,0.35,0.112,0.14,37.22,8.35
86.383385,29.161568,8376.74,305.46,3.639,0.599,-0.501,0.349,-0.66,41.84
86.611374,29.057669,5277.24,125.47,4.299,0.354,0.137,0.167,-10.52,10.29
87.15198,28.993193,5341.5,157.41,3.639,0.514,-0.169,0.209,3.4,12.53
87.63936,29.667484,6650.13,160.64,4.018,0.334,-0.251,0.191,31.26,18.39
87.37267,29.737963,6938.34,207.42,4.142,0.384,0.049,0.208,23.02,30.5
86.894165,29.759584,4566.26,66.04,2.617,0.349,0.025,0.092,-47.54,8.9
87.134,29.923552,4847.93,127.68,2.304,0.575,-0.432,0.202,35.77,12.18
87.331215,29.48932,6541.95,209.33,4.136,0.394,-0.519,0.25,-23.45,32.72
86.87634,29.214462,4705.17,114.1,3.303,0.393,-0.109,0.151,-56.07,10.86
87.24044,29.70573,6559.43,189.2,3.748,0.624,-0.271,0.297,-26.01,61.12
86.925514,29.551575,5155.64,120.01,4.567,0.305,0.196,0.163,-19.8,9.85
87.12439,29.657354,5353.98,161.5,3.069,0.618,-0.264,0.23,-18.4,14.04
86.42992,29.572418,5988.17,219.5,4.408,0.521,-0.202,0.237,36.14,21.6
86.65891,29.376478,6677.68,201.38,4.199,0.399,-0.015,0.197,3.85,26.67
86.4463,29.479807,6059.57,168.0,4.131,0.481,-0.259,0.21,-18.99,20.04
86.68188,29.454123,4161.07,33.33,2.21,0.374,-0.142,0.078,-16.8,9.95
86.79321,30.145996,6502.08,319.22,4.862,0.367,0.131,0.304,16.17,22.9
87.16531,30.1454,5500.64,271.85,3.89,0.666,-0.246,0.304,7.92,16.07
88.3276,28.500757,6249.62,258.53,4.166,0.48,-0.612,0.305,67.27,28.23
88.659386,28.406378,4927.49,117.29,4.356,0.283,0.167,0.158,121.49,8.29
88.25177,28.442448,4775.69,103.29,2.295,0.522,-0.203,0.159,-29.1,11.53
88.372955,28.624603,4969.63,160.85,2.075,0.613,-0.579,0.268,48.73,11.5
88.50452,28.56389,4880.01,117.43,2.372,0.594,-0.261,0.181,-11.16,13.78
88.29858,28.552902,5137.47,111.16,3.823,0.527,-0.359,0.152,107.75,15.05
88.57958,28.427877,4742.37,134.29,1.742,0.629,-0.755,0.215,-38.91,15.01
87.91384,28.378773,7832.37,299.68,3.965,0.491,-0.396,0.451,-5.61,61.37
88.06084,28.519781,4831.96,116.91,2.465,0.535,-0.078,0.169,-8.85,12.68
87.94306,28.620901,4586.86,83.02,2.126,0.48,-0.277,0.13,11.64,11.83
87.98675,28.445698,6937.51,245.78,4.009,0.253,-0.16,0.249,-17.45,17.76
87.90803,28.48461,5388.38,161.09,4.418,0.403,-0.095,0.221,-42.46,11.77
87.89499,28.685705,5721.1,144.57,4.444,0.46,0.299,0.138,-39.69,11.88
87.98943,28.623466,4568.43,102.01,2.266,0.455,-0.467,0.141,48.35,10.62
88.22087,28.589603,4827.76,97.3,2.392,0.569,-0.315,0.153,-35.3,12.7
87.56599,29.013557,7771.41,234.15,3.991,0.364,0.047,0.216,1.15,27.35
87.89347,29.042522,4631.72,111.68,2.296,0.464,-0.341,0.16,14.25,10.89
87.78788,29.160435,4655.24,115.19,1.634,0.439,-0.685,0.19,-7.78,11.57
87.72011,29.075464,6495.83,156.16,4.242,0.383,-0.291,0.17,-32.07,23.94
87.48303,29.19012,4927.19,143.68,2.751,0.626,-0.407,0.206,16.3,14.01
87.5443,29.17152,4897.76,120.83,2.239,0.646,-0.516,0.198,6.94,13.81
87.64763,29.167446,6534.99,258.04,4.285,0.402,-0.098,0.244,10.85,21.45
87.53617,29.096825,6055.01,230.32,3.957,0.527,-0.379,0.293,51.52,20.57
87.84882,28.841122,4758.29,99.7,2.434,0.453,0.031,0.142,-39.57,9.54
87.90476,28.8139,5095.32,123.53,2.776,0.618,-0.163,0.175,-21.92,13.85
87.499504,28.694504,4862.01,127.35,2.308,0.578,-0.303,0.198,-8.8,12.26
87.71307,28.67376,4792.67,103.71,2.854,0.453,0.001,0.141,-31.94,9.73
87.59989,28.732634,4751.55,94.01,2.916,0.348,-0.192,0.127,35.45,8.61
87.77324,28.876608,4957.23,151.15,2.16,0.657,-0.531,0.249,-23.63,13.59
87.75457,28.955608,5118.11,155.19,3.523,0.497,-0.058,0.208,64.11,11.12
87.71487,28.755388,4419.24,68.16,2.026,0.315,-0.074,0.1,31.79,8.47
87.71455,28.804346,4630.41,95.37,2.591,0.331,-0.061,0.126,12.1,8.62
87.541824,28.776978,4922.85,122.84,2.697,0.559,-0.178,0.176,55.06,11.88
87.667915,29.239477,5730.95,183.86,3.738,0.542,-0.15,0.231,-56.94,13.95
87.68329,29.537115,3965.89,50.7,4.426,0.178,-0.599,0.152,-18.89,8.66
87.55897,29.281277,6283.98,199.59,4.268,0.466,0.028,0.182,8.65,19.66
87.85722,29.320944,4775.19,148.13,1.502,0.489,-1.046,0.245,-11.51,12.37
87.87833,29.5245,6542.5,175.5,4.05,0.411,-0.1,0.168,-23.85,20.53
88.65025,29.483797,4615.88,60.86,4.8,0.21,0.192,0.083,4.4,8.38
88.51348,29.361362,7682.32,205.7,3.74,0.405,-0.083,0.245,-4.16,34.26
88.29026,29.476585,7653.76,297.07,3.791,0.351,0.426,0.249,20.52,21.15
88.52945,29.435452,6321.58,245.51,4.216,0.461,-0.262,0.247,7.0,23.16
88.35715,29.209463,4981.93,123.58,2.058,0.62,-0.458,0.209,25.71,13.98
88.35407,29.06936,6702.26,157.97,4.091,0.367,-0.333,0.175,-11.55,26.97
87.925705,28.985811,4725.04,131.72,2.234,0.53,-0.34,0.21,-10.75,10.91
88.05967,29.074282,5021.11,136.21,2.515,0.657,-0.289,0.205,-3.88,14.89
88.178024,28.979145,7858.41,390.21,4.116,0.438,-0.026,0.424,-11.15,40.17
88.00013,29.02846,5042.1,111.64,2.445,0.595,-0.152,0.17,15.47,13.78
88.05494,29.005753,4865.2,133.29,2.75,0.551,-0.395,0.181,47.87,13.15
88.270805,29.013126,4571.15,56.41,2.533,0.35,0.285,0.077,-10.79,8.23
88.12104,28.94117,6283.48,193.98,4.248,0.384,-0.161,0.217,9.72,15.61
88.29637,28.940042,4298.26,48.31,1.698,0.404,-0.315,0.093,-8.17,10.28
88.24575,28.849825,4853.03,201.25,2.566,0.601,-0.555,0.282,22.55,12.79
88.1525,28.873363,5650.48,160.12,4.607,0.47,0.11,0.172,25.41,15.44
88.39892,28.82857,8060.08,333.29,3.276,0.574,-0.367,0.356,30.19,36.53
87.93613,28.798256,6591.65,197.13,4.099,0.437,-0.064,0.19,-24.19,26.56
88.49946,28.70016,4392.2,70.44,1.691,0.463,-0.451,0.125,-56.28,11.54
88.21603,29.321882,5689.51,167.94,4.467,0.42,0.267,0.19,1.06,13.68
88.21857,29.46594,4979.89,152.38,2.1,0.632,-0.239,0.228,22.0,15.39
87.75266,28.373375,4865.94,137.91,2.013,0.639,-0.331,0.217,37.88,17.23
87.8211,28.636683,4839.09,101.43,3.515,0.343,0.31,0.129,-22.67,10.16
87.79552,28.609312,4845.9,127.13,2.356,0.556,-0.091,0.18,3.51,13.92
87.65645,28.340506,4980.44,108.17,3.253,0.494,0.065,0.139,-14.51,13.94
87.6864,28.484749,6025.01,185.7,3.956,0.569,0.205,0.162,78.51,18.44
87.83111,28.293304,4883.76,111.97,2.336,0.609,-0.347,0.183,70.22,14.11
